Year,City,Country,Olympiad
1896,Athina,Greece,I
1900,Paris,France,II
1904,St. Louis,United States,III
1906,Athina,Greece,IIIa
1908,London,Great Britain,IV
1912,Stockholm,Sweden,V
1920,Antwerpen,Belgium,VII
1924,Paris,France,VIII
1928,Amsterdam,Netherlands,IX
1932,Los Angeles,United States,X
1936,Berlin,Germany,XI
1948,London,Great Britain,XIV
1952,Helsinki,Finland,XV
1956,Melbourne,Australia,XVI
1960,Roma,Italy,XVII
1964,Tokyo,Japan,XVIII
1968,Mexico City,Mexico,XIX
1972,Munich,West Germany,XX
1976,Montreal,Canada,XXI
1980,Moskva,Soviet Union,XXII
1984,Los Angeles,United States,XXIII
1988,Seoul,South Korea,XXIV
1992,Barcelona,Spain,XXV
1996,Atlanta,United States,XXVI
2000,Sydney,Australia,XXVII
2004,Athens,Greece,XXVIII
2008,Beijing,China,XXIX
2012,London,Great Britain,XXX
2016,Rio de Janeiro,Brazil, XXXI